	SRR1033183	SRR1033010	SRR1033028	SRR1033278	SRR1032973	SRR1033090	SRR1032957	SRR1032941	SRR1032971	SRR1032970	SRR1032912	SRR1032968	SRR1033161	SRR1032965	SRR1032988	SRR1032930	SRR1032972	SRR1032964	SRR1032981	SRR1032924	SRR1033277	SRR1033275	SRR1032927	SRR1032929	SRR1032951	SRR1032953	SRR1033257	SRR1032919	SRR1032985	SRR1032958	SRR1032945	SRR1032989	SRR1032916	SRR1032966	SRR1032969	SRR1032963	SRR1033077	SRR1032997	SRR1032984	SRR1032910	SRR1032980	SRR1032960	SRR1033043	SRR1032952	SRR1033214	SRR1032940	SRR1032947	SRR1032974	SRR1032946	SRR1032915	SRR1033264	SRR1033148	SRR1033134	SRR1033009	SRR1032956	SRR1032938	SRR1033157	SRR1032967	SRR1032944	SRR1032978	SRR1033002	SRR1032961	SRR1033067	SRR1033044	SRR1033051	SRR1033012	SRR1033222	SRR1033034	SRR1033087	SRR1033049	SRR1033078	SRR1033008	SRR1033176	SRR1033041	SRR1033246	SRR1033082	SRR1033050	SRR1033052	SRR1033115	SRR1033253	SRR1033022	SRR1033154	SRR1033193	SRR1033281	SRR1033036	SRR1033162	SRR1033273	SRR1033066	SRR1033042	SRR1033181	SRR1032950	SRR1033144	SRR1033037	SRR1033185	SRR1033197	SRR1033191	SRR1033057	SRR1033114	SRR1033105	SRR1033180	SRR1033119	SRR1033065	SRR1033111	SRR1033123	SRR1033031	SRR1033103	SRR1033138	SRR1033109	SRR1033025	SRR1033092	SRR1033170	SRR1033207	SRR1033136	SRR1033126	SRR1033254	SRR1033219	SRR1033128	SRR1033023	SRR1033020	SRR1033146	SRR1033038	SRR1033131	SRR1033190	SRR1033081	SRR1033166	SRR1033251	SRR1032992	SRR1032922	SRR1032998	SRR1033186	SRR1033182	SRR1033005	SRR1033266	SRR1033152	SRR1033192	SRR1033150	SRR1033001	SRR1033040	SRR1033060	SRR1033184	SRR1032994	SRR1033075	SRR1033139	SRR1032928	SRR1032962	SRR1033237	SRR1033171	SRR1033153	SRR1033196	SRR1033132	SRR1033069	SRR1033125	SRR1032976	SRR1032939	SRR1033048	SRR1033094	SRR1033147	SRR1033006	SRR1033141	SRR1033163	SRR1033130	SRR1033076	SRR1033209	SRR1033269	SRR1032990	SRR1033032	SRR1033151	SRR1033046	SRR1033226	SRR1033274	SRR1033018	SRR1033072	SRR1033164	SRR1033113	SRR1033089	SRR1033174	SRR1033280	SRR1033054	SRR1033015	SRR1033096	SRR1033070	SRR1033064	SRR1033091	SRR1033110	SRR1033085	SRR1033234	SRR1033068	SRR1033098	SRR1032936	SRR1033255	SRR1033062	SRR1033101	SRR1033019	SRR1033073	SRR1033168	SRR1033145	SRR1033045	SRR1033140	SRR1033160	SRR1033055	SRR1033080	SRR1033241	SRR1033083	SRR1033158	SRR1033121	SRR1033088	SRR1033135	SRR1033013	SRR1033026	SRR1033030	SRR1033189	SRR1033024	SRR1033208	SRR1033116	SRR1033172	SRR1033270	SRR1033240	SRR1033155	SRR1033058	SRR1033225	SRR1033212	SRR1033215	SRR1033129	SRR1033210	SRR1033149	SRR1033127	SRR1033107	SRR1033079	SRR1033261	SRR1033104	SRR1033117
AAMDC_3	0.03571428571428571	0.0		0.9661016949152542	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0			0.0	1.0	0.0			0.0	0.0	0.0	0.0		0.0			1.0	0.0		0.10344827586206896				0.0	0.0				0.0	0.0	0.0		0.0			0.0	0.0		0.0	0.0				0.0	0.0	0.0	0.0		0.0			1.0		0.0			0.0	0.0	0.027777777777777776				0.0	0.3541666666666667			0.0		0.0				1.0					0.0			0.0		0.0	0.0	0.0		0.0	0.0			0.0			0.0						0.0		0.0		0.0				0.0	0.0			0.7560975609756098	0.0	0.0			0.6533333333333333	0.0						1.0			0.0	0.0		0.0											0.0					1.0		0.0	0.3274336283185841		0.0	0.0							0.0		0.0				0.0			0.0	0.0		0.0								0.0				0.0				0.0	0.0			0.0	0.0				0.0	0.0	0.0	0.0			0.0	0.0														
AAMDC_5	0.0			0.0	0.0	0.010101010101010102	0.8918918918918919				0.2682926829268293	0.0	1.0	0.4623655913978494						0.8095238095238095			0.07142857142857142	0.0	0.0	0.0		0.7209302325581395				0.8383838383838383		0.9375				0.7910447761194029					0.1076923076923077	0.0	0.0		0.0		0.0	1.0	0.0		0.4615384615384616	0.7142857142857143				1.0		1.0	1.0		0.0			1.0		0.8888888888888888			0.0		0.030303030303030307				1.0	0.3333333333333333			0.0											0.0		0.8571428571428571	0.0		0.0		0.8055555555555556		0.0	0.19708029197080293			1.0			0.0				0.5384615384615384		1.0	0.0	0.0		0.4461538461538462			0.0	0.0	0.6593406593406593			0.0	0.5833333333333334	0.0			0.0	0.0										0.0		0.0						0.0					0.0					1.0		1.0	0.054545454545454536		1.0								0.0		0.8048780487804879							0.0	1.0		0.5503875968992248					0.0			0.005025125628140704				0.0				1.0	0.8095238095238095			0.0	1.0				1.0		0.0	0.288135593220339																		
AAMDC_6	0.0						1.0						1.0	1.0														1.0				1.0		1.0				1.0	0.0											1.0			1.0	0.6176470588235294				1.0		1.0						1.0						0.6521739130434783					1.0	1.0									0.0												1.0			1.0			0.09090909090909093									1.0				1.0					1.0																																					1.0		1.0			1.0										0.09278350515463918				0.0				1.0		1.0								0.0								1.0	1.0				1.0				1.0							0.0														
AARSD1_3	1.0			1.0			1.0			0.9947368421052633	1.0		0.8181818181818182	0.5575221238938053	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0		1.0	1.0	1.0						1.0				1.0			0.904382470119522				1.0	1.0			0.9555555555555556	1.0				1.0			1.0						1.0						1.0	1.0		1.0	1.0										0.9310344827586208			1.0		1.0				1.0			1.0			1.0	1.0						1.0		1.0							1.0	1.0				1.0	1.0	1.0	1.0			1.0	1.0	1.0		1.0				0.0	1.0		1.0	0.0		1.0	1.0		1.0		1.0	1.0	1.0							1.0			1.0						1.0	1.0					0.9402985074626866	1.0			1.0	1.0		1.0					1.0		1.0					1.0			1.0	1.0	1.0		1.0		1.0			1.0								1.0		0.41232227488151657						1.0	1.0	1.0		0.1176470588235294			1.0		1.0	1.0			1.0	1.0	1.0	1.0
AARS_1						1.0	1.0								1.0				1.0	1.0				1.0		1.0			1.0		1.0		1.0						1.0		1.0		1.0	1.0	1.0							1.0				1.0	1.0			1.0			1.0	0.0			0.39130434782608703		1.0			1.0								1.0			1.0	1.0			1.0	1.0					1.0							1.0			1.0			1.0										0.17647058823529413										1.0		1.0								1.0					1.0	1.0				1.0				1.0				1.0				1.0			1.0	1.0					1.0										1.0							1.0			1.0								1.0		1.0																	1.0							0.32558139534883723	1.0					1.0	1.0			1.0
AASDH_3		1.0										1.0		0.7446808510638298			1.0			1.0		1.0								1.0					1.0									1.0					0.8181818181818182					1.0						1.0	1.0							0.8095238095238095				1.0		1.0	1.0					1.0											0.0											1.0										1.0				1.0						0.4	1.0				1.0												1.0					1.0									0.9130434782608696	1.0								1.0							1.0			1.0								0.0		1.0								1.0				1.0																			1.0			1.0							1.0								
AASS_5				1.0				1.0		1.0					1.0						1.0						1.0	1.0		1.0	1.0						1.0		0.0				1.0		1.0			0.022900763358778626	1.0		1.0								1.0	1.0	0.1588785046728972	1.0			1.0			0.0	1.0		1.0		1.0		1.0		1.0	1.0	1.0	1.0			1.0		1.0			1.0		1.0		1.0	1.0					1.0	1.0			1.0			1.0		1.0	1.0	1.0							1.0	1.0	1.0	0.4394904458598726			1.0	1.0	1.0	1.0			1.0			1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						1.0	0.08823529411764706		1.0		1.0			1.0	1.0	1.0							1.0		1.0	1.0		1.0	1.0			1.0		1.0					1.0		1.0	1.0			1.0		1.0	1.0	1.0			1.0	1.0		1.0		1.0		1.0	1.0		0.7368421052631579			1.0	1.0	1.0			0.7333333333333333		1.0		1.0					1.0	1.0							1.0	1.0
AASS_nmdSE_1				1.0						0.04																		0.0		0.0	0.0						1.0		0.008				1.0		0.6410256410256411			0.0	0.1111111111111111		1.0								0.012345679012345678	1.0	0.0	1.0			0.4334763948497854			0.0	1.0		1.0		1.0		0.0		0.0	1.0	0.0	1.0			0.3774834437086093		0.0			0.9933554817275748		0.0		1.0	0.0					0.2936802973977695	0.0			1.0			0.44545454545454544		0.7606837606837606	1.0	0.6296296296296297								1.0		0.12857142857142856			0.37777777777777777	0.0		0.0			0.08108108108108109			0.4825174825174825			1.0		1.0	0.0	1.0	0.7364341085271318	1.0	0.0	0.0	0.9609756097560976							0.0		1.0					1.0	0.0								0.0		0.0			1.0	0.0			0.5238095238095238		1.0					1.0		0.0	0.0			0.0		1.0					1.0	0.0		0.0		0.0		1.0	0.0		0.0			0.6842105263157895	0.9622641509433962	1.0			0.5		1.0		0.3670886075949367					0.0	0.0							1.0	0.0
ABCA8_1				1.0																1.0						0.0					1.0												1.0													1.0	1.0						1.0								1.0	1.0			1.0	1.0			1.0			0.4845360824742268		1.0						1.0					1.0			1.0	1.0																		1.0	1.0		1.0			1.0									1.0						1.0	1.0																1.0				1.0	1.0			1.0																																																																				
ABCA8_2				1.0														0.0		1.0																							1.0													1.0	1.0						1.0								1.0	1.0		0.25	0.8367346938775511				1.0			1.0		1.0						1.0					1.0			1.0	1.0																			1.0		1.0	0.0		1.0								0.043478260869565216	1.0						1.0	1.0									0.18181818181818185							1.0				1.0	1.0			1.0																																																																				
