	psi_05_10-obs_50_60	psi_05_10-obs_60_70	psi_05_10-obs_70_80	psi_05_10-obs_80_90	psi_05_10-obs_90_100	psi_10_20-obs_50_60	psi_10_20-obs_60_70	psi_10_20-obs_70_80	psi_10_20-obs_80_90	psi_10_20-obs_90_100	psi_20_30-obs_50_60	psi_20_30-obs_60_70	psi_20_30-obs_70_80	psi_20_30-obs_80_90	psi_20_30-obs_90_100	psi_30_40-obs_50_60	psi_30_40-obs_60_70	psi_30_40-obs_70_80	psi_30_40-obs_80_90	psi_30_40-obs_90_100	psi_40_50-obs_50_60	psi_40_50-obs_60_70	psi_40_50-obs_70_80	psi_40_50-obs_80_90	psi_40_50-obs_90_100
0	0.16505068801532818	0.0661928293867663	0.062277838278089304	0.14952961133735687	0.07121996855993373	0.1905235029092326	0.08137612591180665	0.10926928650421219	0.07481862118953664	0.04794313726930566	0.08381401170492098	0.08526103619581227	0.09631906686888936	0.09325698673371163	0.04159250563914774	0.10627210809641496	0.13244284371533255	0.15498583991332648	0.09260333274449462	0.048883621007308364	0.15590934853956595	0.1157033104374845	0.07173046084585355	0.08566998965096817	0.05308306901065318
1	0.1660165373297987	0.1608654334553563	0.14370509410929078	0.13069986610846207	0.05552868106763764	0.15240756661256905	0.15046947354053886	0.056860265799998255	0.08466066622303325	0.11891302044735663	0.16130798725417395	0.14876277919901648	0.0566133122434096	0.11017590149706191	0.04347052090223713	0.09912116713363261	0.10097570602390182	0.0994152611687058	0.07498350385058505	0.1353677633740119	0.11931423074852598	0.10491807207733916	0.09371634677327578	0.11878283405130996	0.07936092607729639
2	0.1981240105668438	0.08903878235959473	0.04283604737642677	0.09236158798947292	0.1297370473910726	0.2812964232670101	0.0581259181925361	0.16131414540148792	0.08839300935055416	0.04675189490879772	0.07526134907631366	0.10316748893575467	0.13696845848605532	0.059920014198577065	0.08696147348209571	0.11764005552533574	0.09427488486504776	0.09087716414133395	0.08091092408458678	0.08694747857781548	0.12380751627764941	0.06915966519445338	0.0764369242179267	0.10179545933983059	0.08856688350565389
3	0.10788272988090053	0.21812314942940725	0.08055674704323745	0.09960850517994324	0.007220051253989723	0.10287586156311734	0.03045335807185967	0.11142599199828773	0.08598889780019714	0.01860972089377	0.0495885208468656	0.14036527721390268	0.054463148270463724	0.03556099150385017	0.07512295152804638	0.20562594103849696	0.11821262158052581	0.09584577377285153	0.09651368324481224	0.08173232553745047	0.17475000865528667	0.12986711799893924	0.09758267002890031	0.08765303784820544	0.05487597098330543
4	0.1807401621300092	0.1446025211515517	0.15388122799909099	0.08172871283354832	0.08632449333715964	0.14556426570582492	0.12169867458307537	0.04655227922910399	0.08686580932053511	0.07510790908718579	0.0922824936591865	0.09373454308517082	0.14022076940651673	0.09420610793435913	0.07841590295026002	0.10586406510228685	0.1287203291906175	0.14798146324005634	0.10359526830303079	0.0711250606724525	0.14490075202152586	0.12891705804616926	0.08405790349283015	0.13353876601427717	0.08687606998621378
5	0.11557504648014771	0.007266762067108634	0.05550048682889708	0.16613363161188643	0.10539268691087877	0.16932473944728987	0.13833031915621186	0.1015773679589792	0.13871975259074465	0.12360017592672845	0.19019827794425848	0.15971230576526452	0.07621253499119274	0.12518157856378198	0.0605836078502856	0.1502349460094209	0.10289035198172314	0.08453130317173019	0.07838561535522703	0.08167710510503623	0.1603880932246733	0.10741356624082243	0.1564935699485397	0.06996686533171592	0.10522035690397069
6	0.049196900308743574	0.15204737703015436	0.11269837197897348	0.03947370586140109	0.00801060614858784	0.05533752934090341	0.08625705834603903	0.050124677193347456	0.08977760014044456	0.08385003496661969	0.1075967158522585	0.1320215985314639	0.1308017277417014	0.08354245979943453	0.09225812442060621	0.17053037387304792	0.14168526046900998	0.07661638893494227	0.12991463040489115	0.05347520349238777	0.14488200051941869	0.0860287154527214	0.13637729301965218	0.06784275700484621	0.09084001826150345
7	0.14611732528883759	0.08128795595721694	0.1868930115073878	0.07770413013068778	0.08119924476227347	0.021135248671749096	0.06173046074799715	0.10785132068736025	0.1371255260774159	0.13401851138478604	0.18023759802938732	0.04786051660525348	0.05983372752482108	0.1130332863653074	0.12634569543622454	0.12055748285946744	0.1864233206501733	0.11173242671355088	0.08179469107569104	0.06592517883367544	0.10919720660615195	0.08975538635143654	0.06333606452249174	0.0614711155672748	0.05875725923408148
8	0.15130758818991663	0.16604087910517218	0.1305786944698385	0.02278851666123627	0.09141924972870918	0.07560065603331645	0.21339918528443336	0.030779656592673343	0.1043432816602946	0.10172262315695246	0.1395763491493498	0.1606238626400256	0.07890563501693915	0.055451774778937146	0.05593902693224517	0.15750983706514732	0.11364243195213908	0.0910411660981012	0.07410347019416097	0.07787082878134954	0.11318346472924479	0.09778283868269666	0.11047708610902629	0.09695454088119315	0.07626469924756862
9	0.11498645008060526	0.09927067916357502	0.16573994256749625	0.11206410797127198	0.022411166263014537	0.11704046485818353	0.18644989229924025	0.10138930294112014	0.12278891116945889	0.08892507329079102	0.08697373603970826	0.09952491832071797	0.07656069742750415	0.08275382663182729	0.06763418606095761	0.12784559985012134	0.11651017935620389	0.09483237988906545	0.06860485117671367	0.13920150756311578	0.08331480318356332	0.09592111409485571	0.12642547686418626	0.09696650218832104	0.059436444388563436
