BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	cell_type_s	strain_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
SAMN04194527	SRX1355026	2015-10-19	122	134	SRR2727279	SRS1121171	GSM1912082	male	Epi	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194526	SRX1355025	2015-10-19	112	122	SRR2727278	SRS1121172	GSM1912081	male	Epi	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194525	SRX1355024	2015-10-19	230	249	SRR2727277	SRS1121173	GSM1912080	male	Epi	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194524	SRX1355023	2015-10-19	346	371	SRR2727276	SRS1121174	GSM1912079	male	Epi	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194523	SRX1355022	2015-10-19	363	383	SRR2727275	SRS1121175	GSM1912078	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194522	SRX1355021	2015-10-19	190	205	SRR2727274	SRS1121176	GSM1912077	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194521	SRX1355020	2015-10-19	114	124	SRR2727273	SRS1121177	GSM1912076	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194520	SRX1355019	2015-10-19	133	146	SRR2727272	SRS1121178	GSM1912075	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194519	SRX1355018	2015-10-19	245	264	SRR2727271	SRS1121179	GSM1912074	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194518	SRX1355017	2015-10-19	135	149	SRR2727270	SRS1121180	GSM1912073	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194517	SRX1355016	2015-10-19	136	148	SRR2727269	SRS1121181	GSM1912072	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194516	SRX1355015	2015-10-19	266	286	SRR2727268	SRS1121182	GSM1912071	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194515	SRX1355014	2015-10-19	352	375	SRR2727267	SRS1121183	GSM1912070	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194514	SRX1355013	2015-10-19	168	183	SRR2727266	SRS1121184	GSM1912069	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194513	SRX1355012	2015-10-19	189	204	SRR2727265	SRS1121185	GSM1912068	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194512	SRX1355011	2015-10-19	302	327	SRR2727264	SRS1121186	GSM1912067	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194511	SRX1355010	2015-10-19	168	185	SRR2727263	SRS1121187	GSM1912066	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194510	SRX1355009	2015-10-19	237	258	SRR2727262	SRS1121188	GSM1912065	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194509	SRX1355008	2015-10-19	85	95	SRR2727261	SRS1121189	GSM1912064	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194508	SRX1355007	2015-10-19	220	240	SRR2727260	SRS1121190	GSM1912063	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194507	SRX1355006	2015-10-19	313	338	SRR2727259	SRS1121191	GSM1912062	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194506	SRX1355005	2015-10-19	370	397	SRR2727258	SRS1121192	GSM1912061	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194505	SRX1355004	2015-10-19	310	335	SRR2727257	SRS1121193	GSM1912060	female	ES	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
